"","title","book_type","rank","rank_last_week","weeks_on_list","author","publisher","description","date_published","book_image","book_image_width","book_image_height"
"1","HOW TO AVOID A CLIMATE DISASTER","Combined Print and E-Book Nonfiction",1,0,1,"Bill Gates","Knopf","A prescription for what business, governments and individuals can do to work toward zero emissions.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780385546133.jpg",342,500
"2","JUST AS I AM","Combined Print and E-Book Nonfiction",2,2,4,"Cicely Tyson with Michelle Burford","HarperCollins","The late iconic actress describes how she worked to change perceptions of Black women through her career choices.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780062931061.jpg",328,500
"3","THE SUM OF US","Combined Print and E-Book Nonfiction",3,0,1,"Heather McGhee","One World","The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780525509561.jpg",329,500
"4","WALK IN MY COMBAT BOOTS","Combined Print and E-Book Nonfiction",4,1,2,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
"5","CASTE","Combined Print and E-Book Nonfiction",5,7,29,"Isabel Wilkerson","Random House","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg",330,500
"6","A PROMISED LAND","Combined Print and E-Book Nonfiction",6,4,14,"Barack Obama","Crown","In the first volume of his presidential memoirs, Barack Obama offers personal reflections on his formative years and pivotal moments through his first term.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781524763169.jpg",329,500
"7","BETWEEN TWO KINGDOMS","Combined Print and E-Book Nonfiction",7,11,2,"Suleika Jaouad","Random House","The writer of the New York Times column “Life, Interrupted” chronicles her fight with cancer and an impactful road trip.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780399588587.jpg",331,500
"8","GREENLIGHTS","Combined Print and E-Book Nonfiction",8,6,18,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"9","UNTAMED","Combined Print and E-Book Nonfiction",9,9,50,"Glennon Doyle","Dial","The activist and public speaker describes her journey of listening to her inner voice.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984801258.jpg",330,500
"10","THINK AGAIN","Combined Print and E-Book Nonfiction",10,3,3,"Adam Grant","Viking","An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg",331,500
"11","THE BODY KEEPS THE SCORE","Combined Print and E-Book Nonfiction",11,10,26,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"12","FOUR HUNDRED SOULS","Combined Print and E-Book Nonfiction",12,5,3,"edited  Ibram X. Kendi and Keisha N. Blain","One World","A compendium featuring 90 writers covering 400 years of African-American history.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593134047.jpg",331,500
"13","THE DAUGHTERS OF KOBANI","Combined Print and E-Book Nonfiction",13,0,1,"Gayle Tzemach Lemmon","Penguin Press","In 2014, a group of all-female Kurdish militia faced off against ISIS in a small town in Syria.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780525560685.jpg",331,500
"14","THE BLACK CHURCH","Combined Print and E-Book Nonfiction",14,0,1,"Henry Louis Gates, Jr","Penguin Press","The companion book to the PBS series that provides a look at five centuries of the meaning and functions of the Black church in America.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984880338.jpg",329,500
"15","UNMASKED","Combined Print and E-Book Nonfiction",15,8,3,"Andy Ngo","Center Street","A former writer for the online magazine Quillette gives his perspective on the activist movement antifa.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781546059585.jpg",331,500
"16","HOW TO AVOID A CLIMATE DISASTER","Combined Print and E-Book Nonfiction",1,1,2,"Bill Gates","Knopf","A prescription for what business, governments and individuals can do to work toward zero emissions.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780385546133.jpg",342,500
"17","THINK AGAIN","Combined Print and E-Book Nonfiction",2,10,4,"Adam Grant","Viking","An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg",331,500
"18","GREENLIGHTS","Combined Print and E-Book Nonfiction",3,8,19,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"19","CASTE","Combined Print and E-Book Nonfiction",4,5,30,"Isabel Wilkerson","Random House","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg",330,500
"20","WALK IN MY COMBAT BOOTS","Combined Print and E-Book Nonfiction",5,4,3,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
"21","JUST AS I AM","Combined Print and E-Book Nonfiction",6,2,5,"Cicely Tyson with Michelle Burford","HarperCollins","The late iconic actress describes how she worked to change perceptions of Black women through her career choices.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780062931061.jpg",328,500
"22","THE SUM OF US","Combined Print and E-Book Nonfiction",7,3,2,"Heather McGhee","One World","The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780525509561.jpg",329,500
"23","A PROMISED LAND","Combined Print and E-Book Nonfiction",8,6,15,"Barack Obama","Crown","In the first volume of his presidential memoirs, Barack Obama offers personal reflections on his formative years and pivotal moments through his first term.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781524763169.jpg",329,500
"24","UNTAMED","Combined Print and E-Book Nonfiction",9,9,51,"Glennon Doyle","Dial","The activist and public speaker describes her journey of listening to her inner voice.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781984801258.jpg",330,500
"25","NOMADLAND","Combined Print and E-Book Nonfiction",10,0,1,"Jessica Bruder","Norton"," A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780393356311.jpg",333,500
"26","THE BODY KEEPS THE SCORE","Combined Print and E-Book Nonfiction",11,11,27,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"27","FOUR HUNDRED SOULS","Combined Print and E-Book Nonfiction",12,12,4,"edited  Ibram X. Kendi and Keisha N. Blain","One World","A compendium featuring 90 writers covering 400 years of African-American history.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780593134047.jpg",331,500
"28","THINKING, FAST AND SLOW","Combined Print and E-Book Nonfiction",13,0,22,"Daniel Kahneman","Farrar, Straus & Giroux","The winner of the Nobel in economic science discusses how we make choices.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781429969352.jpg",330,490
"29","BETWEEN TWO KINGDOMS","Combined Print and E-Book Nonfiction",14,7,3,"Suleika Jaouad","Random House","The writer of the New York Times column “Life, Interrupted” chronicles her fight with cancer and an impactful road trip.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780399588587.jpg",331,500
"30","THE DAUGHTERS OF KOBANI","Combined Print and E-Book Nonfiction",15,13,2,"Gayle Tzemach Lemmon","Penguin Press","In 2014, a group of all-female Kurdish militia faced off against ISIS in a small town in Syria.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780525560685.jpg",331,500
"31","HOW TO AVOID A CLIMATE DISASTER","Combined Print and E-Book Nonfiction",1,1,3,"Bill Gates","Knopf","A prescription for what business, governments and individuals can do to work toward zero emissions.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780385546133.jpg",342,500
"32","CASTE","Combined Print and E-Book Nonfiction",2,4,31,"Isabel Wilkerson","Random House","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg",330,500
"33","THINK AGAIN","Combined Print and E-Book Nonfiction",3,2,5,"Adam Grant","Viking","An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg",331,500
"34","UNTAMED","Combined Print and E-Book Nonfiction",4,9,52,"Glennon Doyle","Dial","The activist and public speaker describes her journey of listening to her inner voice.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781984801258.jpg",330,500
"35","JUST AS I AM","Combined Print and E-Book Nonfiction",5,6,6,"Cicely Tyson with Michelle Burford","HarperCollins","The late iconic actress describes how she worked to change perceptions of Black women through her career choices.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780062931061.jpg",328,500
"36","GREENLIGHTS","Combined Print and E-Book Nonfiction",6,3,20,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"37","THE SUM OF US","Combined Print and E-Book Nonfiction",7,7,3,"Heather McGhee","One World","The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780525509561.jpg",329,500
"38","A PROMISED LAND","Combined Print and E-Book Nonfiction",8,8,16,"Barack Obama","Crown","In the first volume of his presidential memoirs, Barack Obama offers personal reflections on his formative years and pivotal moments through his first term.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781524763169.jpg",329,500
"39","NOMADLAND","Combined Print and E-Book Nonfiction",9,10,2,"Jessica Bruder","Norton"," A look at an expanding low-cost labor pool, which largely consists of transient older adults, and what this might portend.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780393356311.jpg",333,500
"40","WALK IN MY COMBAT BOOTS","Combined Print and E-Book Nonfiction",10,5,4,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
"41","HUNT, GATHER, PARENT","Combined Print and E-Book Nonfiction",11,0,1,"Michaeleen Doucleff","Avid Reader/Simon & Schuster","A look at different approaches to rearing children from various parts of the planet.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781982149673.jpg",329,500
"42","BECOMING","Combined Print and E-Book Nonfiction",12,0,99,"Michelle Obama","Crown","The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg",326,495
"43","THE BODY KEEPS THE SCORE","Combined Print and E-Book Nonfiction",13,11,28,"Bessel van der Kolk","Penguin","How trauma affects the body and mind, and innovative treatments for recovery.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg",128,193
"44","FOUR HUNDRED SOULS","Combined Print and E-Book Nonfiction",14,12,5,"edited  Ibram X. Kendi and Keisha N. Blain","One World","A compendium featuring 90 writers covering 400 years of African-American history.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9780593134047.jpg",331,500
"45","THINKING, FAST AND SLOW","Combined Print and E-Book Nonfiction",15,13,23,"Daniel Kahneman","Farrar, Straus & Giroux","The winner of the Nobel in economic science discusses how we make choices.","2021-03-21","https://storage.googleapis.com/du-prd/books/images/9781429969352.jpg",330,490
"46","HOW TO AVOID A CLIMATE DISASTER","Hardcover Nonfiction",1,0,1,"Bill Gates","Knopf","A prescription for what business, governments and individuals can do to work toward zero emissions.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780385546133.jpg",342,500
"47","JUST AS I AM","Hardcover Nonfiction",2,2,4,"Cicely Tyson with Michelle Burford","HarperCollins","The late iconic actress describes how she worked to change perceptions of Black women through her career choices.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780062931061.jpg",328,500
"48","THE SUM OF US","Hardcover Nonfiction",3,0,1,"Heather McGhee","One World","The chair of the board of the racial justice organization Color of Change analyzes the impact of racism on the economy.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780525509561.jpg",329,500
"49","WALK IN MY COMBAT BOOTS","Hardcover Nonfiction",4,1,2,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
"50","A PROMISED LAND","Hardcover Nonfiction",5,3,14,"Barack Obama","Crown","In the first volume of his presidential memoirs, Barack Obama offers personal reflections on his formative years and pivotal moments through his first term.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781524763169.jpg",329,500
"51","CASTE","Hardcover Nonfiction",6,8,29,"Isabel Wilkerson","Random House","The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593230251.jpg",330,500
"52","GREENLIGHTS","Hardcover Nonfiction",7,6,18,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"53","BETWEEN TWO KINGDOMS","Hardcover Nonfiction",8,10,2,"Suleika Jaouad","Random House","The writer of the New York Times column “Life, Interrupted” chronicles her fight with cancer and an impactful road trip.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780399588587.jpg",331,500
"54","UNTAMED","Hardcover Nonfiction",9,9,50,"Glennon Doyle","Dial","The activist and public speaker describes her journey of listening to her inner voice.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984801258.jpg",330,500
"55","FOUR HUNDRED SOULS","Hardcover Nonfiction",10,5,3,"edited  Ibram X. Kendi and Keisha N. Blain","One World","A compendium featuring 90 writers covering 400 years of African-American history.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780593134047.jpg",331,500
"56","THINK AGAIN","Hardcover Nonfiction",11,4,3,"Adam Grant","Viking","An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg",331,500
"57","UNMASKED","Hardcover Nonfiction",12,7,3,"Andy Ngo","Center Street","A former writer for the online magazine Quillette gives his perspective on the activist movement antifa.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781546059585.jpg",331,500
"58","THE BLACK CHURCH","Hardcover Nonfiction",13,0,1,"Henry Louis Gates, Jr","Penguin Press","The companion book to the PBS series that provides a look at five centuries of the meaning and functions of the Black church in America.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781984880338.jpg",329,500
"59","THE DAUGHTERS OF KOBANI","Hardcover Nonfiction",14,0,1,"Gayle Tzemach Lemmon","Penguin Press","In 2014, a group of all-female Kurdish militia faced off against ISIS in a small town in Syria.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9780525560685.jpg",331,500
"60","BECOMING","Hardcover Nonfiction",15,11,106,"Michelle Obama","Crown","The former first lady describes how she balanced work, family and her husband’s political ascent.","2021-03-07","https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg",326,495
"61","HOW TO AVOID A CLIMATE DISASTER","Hardcover Nonfiction",1,1,2,"Bill Gates","Knopf","A prescription for what business, governments and individuals can do to work toward zero emissions.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780385546133.jpg",342,500
"62","JUST AS I AM","Hardcover Nonfiction",2,2,5,"Cicely Tyson with Michelle Burford","HarperCollins","The late iconic actress describes how she worked to change perceptions of Black women through her career choices.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780062931061.jpg",328,500
"63","THINK AGAIN","Hardcover Nonfiction",3,11,4,"Adam Grant","Viking","An examination of the cognitive skills of rethinking and unlearning that could be used to adapt to a rapidly changing world.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9781984878106.jpg",331,500
"64","GREENLIGHTS","Hardcover Nonfiction",4,7,19,"Matthew McConaughey","Crown","The Academy Award-winning actor shares snippets from the diaries he kept over the last 35 years.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg",392,500
"65","WALK IN MY COMBAT BOOTS","Hardcover Nonfiction",5,4,3,"James Patterson and Matt Eversmann with Chris Mooney","Little, Brown","A collection of interviews with troops who fought overseas.","2021-03-14","https://storage.googleapis.com/du-prd/books/images/9780316429092.jpg",322,500
